,Name,dual_Esignal,dual_Escatter,dual_Escatter2,dual_Ebeta,dual_psignal,dual_pscatter,dual_pscatter2,dual_pbeta,dual_sigma,dual_M,dual_scale,dual_p,dual_scattersigmamod,octal_Esignal,octal_Escatter,octal_Escatter2,octal_Ebeta,octal_psignal,octal_pscatter,octal_pscatter2,octal_pbeta,octal_sigma,octal_M,octal_scale,octal_p,octal_scattersigmamod
0,FeCl3PS_focus,6345.998357509883,10440.644727558716,8479.752162701474,7045.500000000001,0.002051946641536073,3.682845662855705e-05,0.00014971818511932966,0.10935180003105818,294.12620598333274,343.3888106712347,6.6045566810358585,0.36202153984531593,1.5,6333.5091608048015,10914.23578588989,8168.242126340716,7045.500000000001,0.02795874088031325,0.004994772230284106,0.0008597224499811151,0.2999984030146515,698.4057685284346,10645.194860171418,7.591601983551721,0.39618280753420065,0.8
1,20nmSpin,6333.537536087864,10496.117037379167,7903.444030506281,7045.500000000001,0.0011896254305940879,0.0006430744297234448,1.3590434879695579e-05,0.20160163257455124,327.5169094300337,1485.82609613072,7.028984710494675,0.4007831404467543,1.5,6541.833570872339,10890.317208680975,7790.067178490084,7045.500000000001,0.00529306300733845,0.024314795960444613,0.0031143399571391672,0.299948233414165,746.0468590247287,0.1393126906405354,10.646562077259828,0.5584592013730966,0.8
2,copolymeronly,6661.198987976658,10440.118732977096,7790.035369161528,7045.500000000001,2.5482624094630424e-05,0.00020989059755138761,7.016808266135932e-05,0.29999998536576894,313.5202619610187,2015.0094273630066,8.759112061075275,0.5070405821504471,1.5,6412.800625838669,10919.756357805485,7790.087686882474,7045.500000000001,0.01321386990140172,0.007972962602807554,0.005214568402746922,0.29999138009707693,727.7113901502321,1.6401229325928803,11.165515644673484,0.472056444627221,0.8
3,20nmPS_+400,6321.530874723267,10440.462946931399,8507.5084842133,7045.500000000001,0.008093612032027186,0.00015045098138188884,0.0007666029272084263,0.13188894724233013,308.9838055993435,2950.8273327007423,12.25760581961981,0.38166509755391265,1.5,6282.906082088269,10845.88855291835,8136.680861754734,7045.500000000001,0.03287250862446833,0.010427953993127348,0.00099513283822672,0.2999894646155578,696.388028896662,6898.240205152719,8.718553732993016,0.41872005814617963,0.8
4,benNi20nm,7338.547388943495,10512.943006079437,7792.853429643361,8108.204467970612,0.0011725616782478632,5.2356049403234906e-05,0.0002285916847686309,0.14724158268099516,340.73952322746135,0.6657147794228597,16.42118778148511,0.4076716701910507,1.5,7180.800000147018,10965.38341168201,7790.000006227096,8601.999977375579,0.006376439304674575,0.0035314131323052056,0.0030915963741990904,0.15468392254688268,604.338779968908,1.9393137465092618,9.504519393556155,0.42398460355822715,0.8
5,benNi40nm,7327.547185358776,10555.606725312504,7790.000093984044,8091.557704455219,0.0027916832287429028,6.123768085486425e-05,0.0005761390680105727,0.13891006492260125,327.41843224392113,5.93319191478284,14.931661926678506,0.4208293154087036,1.5,7180.800004142141,10964.970426034515,7794.957591420031,8601.982298907158,0.010294203947875058,0.0030662811521473543,0.00503322904394099,0.15474095234241003,616.9732647412027,9.343027932835955,10.994324392099445,0.40168121063230644,0.8
6,20nmPS_-400,6325.276625990077,10444.53767250293,8507.221832983496,7045.500000000001,0.009643920032202713,0.0002063682578652415,0.000950618334659703,0.128730807931044,304.1109646007733,2510.100732311412,9.685335131468268,0.3763568190462965,1.5,6229.766044739848,10798.620200190959,8231.418980939983,7045.500000000001,0.03682826656941374,0.011817910268856258,0.0008118071251013159,0.2998138745966144,658.3314049721375,47546.191997261354,8.185216435965808,0.4242917739735213,0.8
7,10nmCo_+400,6321.886883123245,10440.77182671228,8370.455346198585,7045.500000000001,0.003960224203253704,8.745740202575902e-05,2.7427409902580635e-05,0.1399845902228628,341.5610197543851,1059.038818166079,13.937415824516469,0.38224846616138464,1.5,6296.079248896167,10860.867703264352,7998.335030381199,7045.500000000001,0.018742741842131316,0.009442984705089419,0.0009021789794079194,0.29999996714150406,718.7879737329404,8328.695498102235,8.655408276055319,0.4552362658233287,0.8
8,10nmPS_-400_att_nofilter,6330.91070767897,10440.885010174601,8503.822698035774,7045.500000000001,0.002637472883461278,1.2091684720161311e-05,9.655675367814531e-05,0.10733397165515697,308.41160172042396,1277.489516343535,11.755464954928474,0.3761946795672996,1.5,6148.804474522365,10755.04901704019,8609.734717595236,7045.500000000001,0.0516803385944451,0.025348211777525886,9.648341015866535e-05,0.16740406399194838,569.2614721369724,11105.000185453348,6.55823390328988,0.46301134845596953,0.8
9,10nmPS_-400,6314.3286882322,10491.22616883938,8471.925677228477,7045.500000000001,0.01247602099161127,6.239602536561861e-05,0.0004955953617000741,0.1829941174484581,350.6120503434781,7.9491478807509015,13.993244889659845,0.3793651862250716,1.5,6252.641009110657,10787.031006725409,8609.999999999773,7045.500000000001,0.02950453994446245,0.003583401018249166,0.00036329526338962914,0.29999999958422124,650.3270265816045,1.1803560128988,13.411873625089118,0.3667506491227561,0.8
10,10nmPS_focus_nofilter,6330.4303524853585,10439.728128294104,8506.200563908633,7045.500000000001,0.002707916680725342,1.224641253139147e-05,9.72571818143031e-05,0.11988130193338475,309.2519615156058,441.7814541859499,11.05338823521177,0.3746032584201118,1.5,6148.800007394022,10724.348483956846,8609.940615974676,7045.500000000001,0.2090967078095436,0.09126650602529396,0.0012983957580094962,0.21064312891018222,577.3898267156059,1906.976591587295,7.890252215702958,0.46597336567101505,0.8
11,10nmCo_-400,6321.903083907587,10439.449804702339,8158.403024799527,7045.500000000001,0.0022925181241060244,4.453028622242172e-05,2.6254472111020277e-05,0.18928467415545022,354.685779659261,1.5629625445079536,20.04523115932174,0.376859139293337,1.5,6305.241438655101,10854.96537750007,7843.890388611456,7045.500000000001,0.024901329492182933,0.006879549340359947,0.0040898747242053,0.2999999972395767,716.819790126243,3793.3910265461814,9.799028631258423,0.42932284553865446,0.8
12,20nmCo_-400_nofilter,6339.545054710488,10439.616797963045,8310.317530789906,7045.500000000001,0.0015950209744692856,3.790360480482313e-05,1.2865893335822776e-05,0.17228960096528742,365.4155981457811,6128.887964809548,12.515005466288875,0.3766593841895796,1.5,6356.121436341344,10939.854331728464,8609.999651627191,7045.500000000001,0.20478756778883977,0.4230975172925009,7.567257931384574e-11,0.16288015651594331,631.5305804636365,0.3218382662405945,9.425382008899453,0.5825998808810837,0.8
13,10nmPS_-400_full_nofilter,6318.479827929545,10509.248910749915,8486.482623591819,7045.500000000001,0.012127776499382126,6.324632821486098e-05,0.00046081673036146853,0.17314010862848614,347.7350274590492,5.937798733103854,13.048282746884032,0.37509600708588614,1.5,6164.404085629504,10735.447033407057,8609.966075241367,7045.500000000001,0.21309394688491956,0.12219032955920794,0.001237476374287727,0.25407203359322844,588.1402053883584,13887.501471645028,7.704105272191744,0.4763671028343308,0.8
14,10nmPS_+400,6323.285164853509,10465.674806204299,8510.642683758912,7045.500000000001,0.010595973326684494,0.0003447710513764246,0.0011742876933373836,0.14477943421824643,315.07582182051283,4043.1704368283417,11.96215701332127,0.37939300381974095,1.5,6277.7249174662775,10834.785118048887,8022.556438390226,7045.500000000001,0.04678335618077978,0.01789212375973892,0.0015541942058350244,0.29999998902167396,689.5674155479109,20180.55068839705,8.516392351480054,0.43421839384305516,0.8
15,copolymeronly_focus_nofilter,6157.899395017007,10439.585706653332,8604.806523719433,7045.500000000001,9.081237872798908e-08,0.00010793258533947636,7.755321056457376e-07,0.07520111938010882,329.1232708040648,81.66611793523339,8.716464540083212,0.4940778187779806,1.5,6558.022866629907,10730.476583138314,8609.503230343105,7045.500000000001,1.3361952810875266e-07,0.23817184632545452,0.0005697526754562254,0.28959988882126464,663.8572607831624,564.2377238413264,7.890851542888482,0.5585190885077645,0.8
16,Fe10um_NPref,6312.689533749704,11049.150005436624,8609.999817238468,7045.500000000001,0.013551848914279851,1.4587489655770725e-05,2.4119249367737794e-05,0.13687734921714106,362.293067607524,15.478291490100279,16.556949801860473,0.39407126514401236,1.5,6262.560451914985,10712.459401192273,8609.997709521007,7045.500000000001,0.04534650243319094,0.0002345748389267488,0.0001478041650220252,0.2412794031587739,581.326864930006,2266.0447973623736,11.032329048708311,0.3742816488110084,0.8
17,FeCl3PS_-400,6330.665656424828,10438.565673828218,8482.575214671562,7045.500000000001,0.008093357266707901,0.0001390676576995542,0.0006272847815202987,0.21706170037526876,337.370080553805,2.5345525730162137,13.997920552777936,0.3726352645634724,1.5,6276.779908614137,10796.21718545338,8030.578255371229,7045.500000000001,0.04027907932114583,0.011295965660281793,0.0016433446183097278,0.2999993343813475,667.248809180287,5634.549640972423,8.014553809937384,0.43005926600060723,0.8
18,FeCl3PS_focus_nofilter,6325.660016316571,10458.53437313406,8511.779238494863,7045.500000000001,0.013450394482191541,0.00027575291734005525,0.0010668559440591974,0.16491679906397397,318.2472584606618,533.0693185293175,10.271825316101149,0.37490543965614764,1.5,6319.577883063712,11114.50251223194,8430.637255907153,7045.500000000001,1.0658076723717036,1.0658076747061718,1.4943668524836085e-10,0.1551581974924203,551.4706099250432,3.735000504831766,9.70704189681694,0.7997942338874168,0.8
19,20nmcopolymer_unknown,6319.765318959633,10441.220849609375,8381.981339018826,7045.500000000001,0.0051868553386194005,0.00021423569939416076,2.884111967937919e-05,0.1555185700439702,339.5463125870875,7723.896646050437,14.606262223275193,0.38759865854533104,1.5,6310.73978472762,10863.73701388188,7941.70334700096,7045.500000000001,0.026283335583799694,0.01550086367654302,0.0014007117466636743,0.2999999774069892,725.5685612452356,51936.02953117222,8.691144125916194,0.4564184535283022,0.8
20,10nmCo_focus_nofilter,6349.912660520447,10439.770801307535,8478.246405625507,7045.500000000001,0.00032496803935666563,6.501441203399239e-06,2.97005022553698e-06,0.09877483658188978,320.64008700069184,1539.506447153431,8.845853291271975,0.37135346847430856,1.5,6149.489088087688,10755.869646185156,8609.941560507665,7045.500000000001,0.02994214480071067,0.059280643956707735,1.6125767388075474e-11,0.12535065029690898,614.7472994221234,0.5760385570879463,7.082469201310295,0.5440291560487804,0.8
21,10nmPMMAold,6322.043891999499,10440.989844470918,8447.96404880489,7045.500000000001,0.010545467707041345,0.0007353863747310285,0.0001390636994029748,0.15776759307838206,323.50507986585313,3570.0766386559617,11.94557542081125,0.383493804751859,1.5,6298.818383837637,10849.628520027001,7912.149624839598,7045.500000000001,0.049526248621862834,0.027472121687982298,0.0023734527958418905,0.29999974894241077,707.3040300768158,15744.067904076788,8.494927364651977,0.4582378906335689,0.8
22,10nmPS_short,6316.722136646921,10492.143498269474,8487.681260838588,7045.500000000001,0.011688413142343146,5.573773062161891e-05,0.000448721045505307,0.16996581762451948,339.9866589224064,7.261150701279161,13.753043276378598,0.3787781497928728,1.5,6286.81200703887,10817.227972305933,7999.527400904941,7045.500000000001,0.03332654841160054,0.0032896033362104227,0.0012125081289222628,0.2999967837923301,705.9721843072053,1.3472265237193344,14.903120106446256,0.3924651149780803,0.8
23,20nmPS_focus_nofilter,6347.055266431554,10438.600927811394,8511.663245322972,7045.500000000001,0.0008500640803670301,1.8477423869400766e-05,7.988245716128439e-05,0.09735010418477011,289.68205452015246,3999.490119220856,11.319225050071578,0.3790394531475244,1.5,6149.003988064952,10721.819427942733,8609.685585548648,7045.500000000001,0.09900799014234729,0.10494203944958214,0.002685947935920252,0.1597345750781022,608.6185890356251,9.62082829704608,8.054755010557818,0.518300485855694,0.8
24,10nmPS_focus_far_nofilter,6328.780994127683,10438.826379992935,8500.631591707395,7045.500000000001,0.0026332032075795375,1.159612347212402e-05,9.347879847920737e-05,0.11201709872222025,309.1904549196881,7771.357017181967,11.55914395198279,0.37614078072833085,1.5,6150.917729648303,10764.854634446381,8609.978730805984,7045.500000000001,0.049101786296847694,0.02467965382031445,9.671856652793132e-05,0.1698446006518479,571.83605085652,344.7916473389028,6.4741819773081755,0.45799045407205363,0.8
25,20nmCo_+400,6323.493971978954,10440.659612699947,8301.248879825429,7045.500000000001,0.0024191837165414842,6.151570681756091e-05,1.5964862889239484e-05,0.1459717561235013,342.7992334784106,5697.629837685251,14.791991479841304,0.3837110396378569,1.5,6349.68177345451,10896.507514153443,7956.997656759659,7045.500000000001,0.012750096333352667,0.008121492462510815,0.0009441944892933929,0.29999997286513475,729.8795387770878,5633.542714900893,8.826892624278065,0.4706728185470029,0.8
26,20nmCo_-400,6317.563386608711,10439.401562500032,8072.943450159178,7045.500000000001,0.003294434187515849,8.844076422964697e-05,3.412107002898068e-05,0.18281738635970132,344.02999596314635,979.2825545629382,14.424075728853392,0.3834806013535088,1.5,6312.2773069250115,10862.600387164726,7841.391781682077,7045.500000000001,0.02600836354583458,0.008192626837620676,0.004472043572520956,0.2999999959824053,724.4254001588012,4659.6761895065965,9.901763390549176,0.43100987230873644,0.8
27,FeCl3PS_+1000,6320.636676092249,10465.084045188565,8496.498372296266,7045.500000000001,0.008318040126382042,0.00013890862694654338,0.0006480611675341308,0.13081100866040868,315.8618130548559,3.251383243139656,13.394832293188776,0.37740851894160654,1.5,6266.666405023398,10828.940662007086,8381.953572098178,7045.500000000001,0.0376294886427293,0.011011190093832113,0.0007861300552796102,0.2999565698812181,682.8078438191985,11192.393117511085,8.006382973531306,0.4009560676698245,0.8
